source,target,interaction,directed,symbol,value
M_acald_c,R_ACALD,PP,TRUE,abc,1.234
M_coa_c,R_ACALD,PP,TRUE,abc,1.234
M_nad_c,R_ACALD,PP,TRUE,abc,1.234
R_ACALD,M_accoa_c,PP,TRUE,abc,1.234
R_ACALD,M_h_c,PP,TRUE,abc,1.234
R_ACALD,M_nadh_c,PP,TRUE,abc,1.234
M_acald_e,R_ACALDt,PP,TRUE,abc,1.234
R_ACALDt,M_acald_c,PP,TRUE,abc,1.234
M_ac_c,R_ACKr,PP,TRUE,abc,1.234
M_atp_c,R_ACKr,PP,TRUE,abc,1.234
R_ACKr,M_actp_c,PP,TRUE,abc,1.234
R_ACKr,M_adp_c,PP,TRUE,abc,1.234
M_cit_c,R_ACONTa,PP,TRUE,abc,1.234
R_ACONTa,M_acon_C_c,PP,TRUE,abc,1.234
R_ACONTa,M_h2o_c,PP,TRUE,abc,1.234
M_acon_C_c,R_ACONTb,PP,TRUE,abc,1.234
M_h2o_c,R_ACONTb,PP,TRUE,abc,1.234
R_ACONTb,M_icit_c,PP,TRUE,abc,1.234
M_ac_e,R_ACt2r,PP,TRUE,abc,1.234
M_h_e,R_ACt2r,PP,TRUE,abc,1.234
R_ACt2r,M_ac_c,PP,TRUE,abc,1.234
R_ACt2r,M_h_c,PP,TRUE,abc,1.234
M_amp_c,R_ADK1,PP,TRUE,abc,1.234
M_atp_c,R_ADK1,PP,TRUE,abc,1.234
R_ADK1,M_adp_c,PP,TRUE,abc,1.234
M_akg_c,R_AKGDH,PP,TRUE,abc,1.234
M_coa_c,R_AKGDH,PP,TRUE,abc,1.234
M_nad_c,R_AKGDH,PP,TRUE,abc,1.234
R_AKGDH,M_co2_c,PP,TRUE,abc,1.234
R_AKGDH,M_nadh_c,PP,TRUE,abc,1.234
R_AKGDH,M_succoa_c,PP,TRUE,abc,1.234
M_akg_e,R_AKGt2r,PP,TRUE,abc,1.234
M_h_e,R_AKGt2r,PP,TRUE,abc,1.234
R_AKGt2r,M_akg_c,PP,TRUE,abc,1.234
R_AKGt2r,M_h_c,PP,TRUE,abc,1.234
M_etoh_c,R_ALCD2x,PP,TRUE,abc,1.234
M_nad_c,R_ALCD2x,PP,TRUE,abc,1.234
R_ALCD2x,M_acald_c,PP,TRUE,abc,1.234
R_ALCD2x,M_h_c,PP,TRUE,abc,1.234
R_ALCD2x,M_nadh_c,PP,TRUE,abc,1.234
M_atp_c,R_ATPM,PP,TRUE,abc,1.234
M_h2o_c,R_ATPM,PP,TRUE,abc,1.234
R_ATPM,M_adp_c,PP,TRUE,abc,1.234
R_ATPM,M_h_c,PP,TRUE,abc,1.234
R_ATPM,M_pi_c,PP,TRUE,abc,1.234
M_adp_c,R_ATPS4r,PP,TRUE,abc,1.234
M_h_e,R_ATPS4r,PP,TRUE,abc,1.234
M_pi_c,R_ATPS4r,PP,TRUE,abc,1.234
R_ATPS4r,M_atp_c,PP,TRUE,abc,1.234
R_ATPS4r,M_h2o_c,PP,TRUE,abc,1.234
R_ATPS4r,M_h_c,PP,TRUE,abc,1.234
M_3pg_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_accoa_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_atp_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_e4p_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_f6p_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_g3p_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_g6p_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_gln__L_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
M_glu__L_c,R_BIOMASS_Ecoli_core_w_GAM,PP,TRUE,abc,1.234
