"source","target","interaction"
"M_acald_c","R_ACALD","metabolite_reaction"
"M_coa_c","R_ACALD","metabolite_reaction"
"M_nad_c","R_ACALD","metabolite_reaction"
"R_ACALD","M_accoa_c","reaction_metabolite"
"R_ACALD","M_h_c","reaction_metabolite"
"R_ACALD","M_nadh_c","reaction_metabolite"
"M_acald_e","R_ACALDt","metabolite_reaction"
"R_ACALDt","M_acald_c","reaction_metabolite"
"M_ac_c","R_ACKr","metabolite_reaction"
"M_atp_c","R_ACKr","metabolite_reaction"
"R_ACKr","M_actp_c","reaction_metabolite"
"R_ACKr","M_adp_c","reaction_metabolite"
"M_cit_c","R_ACONTa","metabolite_reaction"
"R_ACONTa","M_acon_C_c","reaction_metabolite"
"R_ACONTa","M_h2o_c","reaction_metabolite"
"M_acon_C_c","R_ACONTb","metabolite_reaction"
"M_h2o_c","R_ACONTb","metabolite_reaction"
"R_ACONTb","M_icit_c","reaction_metabolite"
"M_ac_e","R_ACt2r","metabolite_reaction"
"M_h_e","R_ACt2r","metabolite_reaction"
"R_ACt2r","M_ac_c","reaction_metabolite"
"R_ACt2r","M_h_c","reaction_metabolite"
"M_amp_c","R_ADK1","metabolite_reaction"
"M_atp_c","R_ADK1","metabolite_reaction"
"R_ADK1","M_adp_c","reaction_metabolite"
"M_akg_c","R_AKGDH","metabolite_reaction"
"M_coa_c","R_AKGDH","metabolite_reaction"
"M_nad_c","R_AKGDH","metabolite_reaction"
"R_AKGDH","M_co2_c","reaction_metabolite"
"R_AKGDH","M_nadh_c","reaction_metabolite"
"R_AKGDH","M_succoa_c","reaction_metabolite"
"M_akg_e","R_AKGt2r","metabolite_reaction"
"M_h_e","R_AKGt2r","metabolite_reaction"
"R_AKGt2r","M_akg_c","reaction_metabolite"
"R_AKGt2r","M_h_c","reaction_metabolite"
"M_etoh_c","R_ALCD2x","metabolite_reaction"
"M_nad_c","R_ALCD2x","metabolite_reaction"
"R_ALCD2x","M_acald_c","reaction_metabolite"
"R_ALCD2x","M_h_c","reaction_metabolite"
"R_ALCD2x","M_nadh_c","reaction_metabolite"
"M_atp_c","R_ATPM","metabolite_reaction"
"M_h2o_c","R_ATPM","metabolite_reaction"
"R_ATPM","M_adp_c","reaction_metabolite"
"R_ATPM","M_h_c","reaction_metabolite"
"R_ATPM","M_pi_c","reaction_metabolite"
"M_adp_c","R_ATPS4r","metabolite_reaction"
"M_h_e","R_ATPS4r","metabolite_reaction"
"M_pi_c","R_ATPS4r","metabolite_reaction"
"R_ATPS4r","M_atp_c","reaction_metabolite"
"R_ATPS4r","M_h2o_c","reaction_metabolite"
"R_ATPS4r","M_h_c","reaction_metabolite"
"M_3pg_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_accoa_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_atp_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_e4p_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_f6p_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_g3p_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_g6p_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_gln__L_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_glu__L_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_h2o_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_nad_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_nadph_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_oaa_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_pep_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_pyr_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"M_r5p_c","R_BIOMASS_Ecoli_core_w_GAM","metabolite_reaction"
"R_BIOMASS_Ecoli_core_w_GAM","M_adp_c","reaction_metabolite"
"R_BIOMASS_Ecoli_core_w_GAM","M_akg_c","reaction_metabolite"
"R_BIOMASS_Ecoli_core_w_GAM","M_coa_c","reaction_metabolite"
"R_BIOMASS_Ecoli_core_w_GAM","M_h_c","reaction_metabolite"
"R_BIOMASS_Ecoli_core_w_GAM","M_nadh_c","reaction_metabolite"
"R_BIOMASS_Ecoli_core_w_GAM","M_nadp_c","reaction_metabolite"
"R_BIOMASS_Ecoli_core_w_GAM","M_pi_c","reaction_metabolite"
"M_co2_e","R_CO2t","metabolite_reaction"
"R_CO2t","M_co2_c","reaction_metabolite"
"M_accoa_c","R_CS","metabolite_reaction"
"M_h2o_c","R_CS","metabolite_reaction"
"M_oaa_c","R_CS","metabolite_reaction"
"R_CS","M_cit_c","reaction_metabolite"
"R_CS","M_coa_c","reaction_metabolite"
"R_CS","M_h_c","reaction_metabolite"
"M_h_c","R_CYTBD","metabolite_reaction"
"M_o2_c","R_CYTBD","metabolite_reaction"
"M_q8h2_c","R_CYTBD","metabolite_reaction"
"R_CYTBD","M_h2o_c","reaction_metabolite"
"R_CYTBD","M_h_e","reaction_metabolite"
"R_CYTBD","M_q8_c","reaction_metabolite"
"M_h_e","R_D_LACt2","metabolite_reaction"
"M_lac__D_e","R_D_LACt2","metabolite_reaction"
"R_D_LACt2","M_h_c","reaction_metabolite"
"R_D_LACt2","M_lac__D_c","reaction_metabolite"
"M_2pg_c","R_ENO","metabolite_reaction"
"R_ENO","M_h2o_c","reaction_metabolite"
"R_ENO","M_pep_c","reaction_metabolite"
"M_etoh_e","R_ETOHt2r","metabolite_reaction"
"M_h_e","R_ETOHt2r","metabolite_reaction"
"R_ETOHt2r","M_etoh_c","reaction_metabolite"
"R_ETOHt2r","M_h_c","reaction_metabolite"
"M_fdp_c","R_FBA","metabolite_reaction"
"R_FBA","M_dhap_c","reaction_metabolite"
"R_FBA","M_g3p_c","reaction_metabolite"
"M_fdp_c","R_FBP","metabolite_reaction"
"M_h2o_c","R_FBP","metabolite_reaction"
"R_FBP","M_f6p_c","reaction_metabolite"
"R_FBP","M_pi_c","reaction_metabolite"
"M_for_e","R_FORt","metabolite_reaction"
"R_FORt","M_for_c","reaction_metabolite"
"M_for_e","R_FORt2","metabolite_reaction"
"M_h_e","R_FORt2","metabolite_reaction"
"R_FORt2","M_for_c","reaction_metabolite"
"R_FORt2","M_h_c","reaction_metabolite"
"M_fum_c","R_FRD7","metabolite_reaction"
"M_q8h2_c","R_FRD7","metabolite_reaction"
"R_FRD7","M_q8_c","reaction_metabolite"
"R_FRD7","M_succ_c","reaction_metabolite"
"M_fru_e","R_FRUpts2","metabolite_reaction"
"M_pep_c","R_FRUpts2","metabolite_reaction"
"R_FRUpts2","M_f6p_c","reaction_metabolite"
"R_FRUpts2","M_pyr_c","reaction_metabolite"
"M_fum_c","R_FUM","metabolite_reaction"
"M_h2o_c","R_FUM","metabolite_reaction"
"R_FUM","M_mal__L_c","reaction_metabolite"
"M_fum_e","R_FUMt2_2","metabolite_reaction"
"M_h_e","R_FUMt2_2","metabolite_reaction"
"R_FUMt2_2","M_fum_c","reaction_metabolite"
"R_FUMt2_2","M_h_c","reaction_metabolite"
"M_g6p_c","R_G6PDH2r","metabolite_reaction"
"M_nadp_c","R_G6PDH2r","metabolite_reaction"
"R_G6PDH2r","M_6pgl_c","reaction_metabolite"
"R_G6PDH2r","M_h_c","reaction_metabolite"
"R_G6PDH2r","M_nadph_c","reaction_metabolite"
"M_g3p_c","R_GAPD","metabolite_reaction"
"M_nad_c","R_GAPD","metabolite_reaction"
"M_pi_c","R_GAPD","metabolite_reaction"
"R_GAPD","M_13dpg_c","reaction_metabolite"
"R_GAPD","M_h_c","reaction_metabolite"
"R_GAPD","M_nadh_c","reaction_metabolite"
"M_glc__D_e","R_GLCpts","metabolite_reaction"
"M_pep_c","R_GLCpts","metabolite_reaction"
"R_GLCpts","M_g6p_c","reaction_metabolite"
"R_GLCpts","M_pyr_c","reaction_metabolite"
"M_atp_c","R_GLNS","metabolite_reaction"
"M_glu__L_c","R_GLNS","metabolite_reaction"
"M_nh4_c","R_GLNS","metabolite_reaction"
"R_GLNS","M_adp_c","reaction_metabolite"
"R_GLNS","M_gln__L_c","reaction_metabolite"
"R_GLNS","M_h_c","reaction_metabolite"
"R_GLNS","M_pi_c","reaction_metabolite"
"M_atp_c","R_GLNabc","metabolite_reaction"
"M_gln__L_e","R_GLNabc","metabolite_reaction"
"M_h2o_c","R_GLNabc","metabolite_reaction"
"R_GLNabc","M_adp_c","reaction_metabolite"
"R_GLNabc","M_gln__L_c","reaction_metabolite"
"R_GLNabc","M_h_c","reaction_metabolite"
"R_GLNabc","M_pi_c","reaction_metabolite"
"M_glu__L_c","R_GLUDy","metabolite_reaction"
"M_h2o_c","R_GLUDy","metabolite_reaction"
"M_nadp_c","R_GLUDy","metabolite_reaction"
"R_GLUDy","M_akg_c","reaction_metabolite"
"R_GLUDy","M_h_c","reaction_metabolite"
"R_GLUDy","M_nadph_c","reaction_metabolite"
"R_GLUDy","M_nh4_c","reaction_metabolite"
"M_gln__L_c","R_GLUN","metabolite_reaction"
"M_h2o_c","R_GLUN","metabolite_reaction"
"R_GLUN","M_glu__L_c","reaction_metabolite"
"R_GLUN","M_nh4_c","reaction_metabolite"
"M_akg_c","R_GLUSy","metabolite_reaction"
"M_gln__L_c","R_GLUSy","metabolite_reaction"
"M_h_c","R_GLUSy","metabolite_reaction"
"M_nadph_c","R_GLUSy","metabolite_reaction"
"R_GLUSy","M_glu__L_c","reaction_metabolite"
"R_GLUSy","M_nadp_c","reaction_metabolite"
"M_glu__L_e","R_GLUt2r","metabolite_reaction"
"M_h_e","R_GLUt2r","metabolite_reaction"
"R_GLUt2r","M_glu__L_c","reaction_metabolite"
"R_GLUt2r","M_h_c","reaction_metabolite"
"M_6pgc_c","R_GND","metabolite_reaction"
"M_nadp_c","R_GND","metabolite_reaction"
"R_GND","M_co2_c","reaction_metabolite"
"R_GND","M_nadph_c","reaction_metabolite"
"R_GND","M_ru5p__D_c","reaction_metabolite"
"M_h2o_e","R_H2Ot","metabolite_reaction"
"R_H2Ot",
