"Annotation","Author","Complex Expansion","Complex Expansion ID","Confidence-Score-author score","Confidence-Score-intact-miscore","Creation Date","Detection Method","Detection Method ID","Host Organism Taxonomy","Host Organism Taxonomy ID","interaction","Interaction Type","name","Negative","Parameters","Primary Interaction Type","Publication DB","Publication ID","ScoreAverage","selected","shared interaction","shared name","Source Biological Role","Source Biological Role ID","Source Database","Source Experimental Role","Source Experimental Role ID","Source Participant Detection Method","Source Participant Detection Method ID","Target Biological Role","Target Biological Role ID","Target Experimental Role","Target Experimental Role ID","Target Participant Detection Method","Target Participant Detection Method ID","Update Date","Xref","Xref ID"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-3939873","physical association","P57678 (EBI-3939873) Q13501","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3939873","P57678 (EBI-3939873) Q13501","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","2011/05/18","intact","MI:0469"
"figure legend:Fig. 5D|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Joshi et al. (2013)","spoke expansion","MI:1060",,"0.77","2013/04/03","anti bait coimmunoprecipitation","MI:0006","human-ccrf_cem|Homo sapiens T-Acute Lymphoblastic Leukemia cell line","9606","EBI-6598922","association","P57678 (EBI-6598922) Q9UHI6","false","","association","imex|pubmed","IM-18733|23752268",,"false","EBI-6598922","P57678 (EBI-6598922) Q9UHI6","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2013/04/16","",""
"figure legend:Fig. 5D|dataset:Chromatin - Epigenetic interactions resulting in chromatin modulation|full coverage:Only protein-protein interactions|curation depth:imex curation","Joshi et al. (2013)","spoke expansion","MI:1060",,"0.64","2013/04/03","anti bait coimmunoprecipitation","MI:0006","human-ccrf_cem|Homo sapiens T-Acute Lymphoblastic Leukemia cell line","9606","EBI-6598922","association","P57678 (EBI-6598922) Q16637","false","","association","imex|pubmed","IM-18733|23752268",,"false","EBI-6598922","P57678 (EBI-6598922) Q16637","unspecified role","MI:0499","psi-mi","bait","MI:0496","western blot","MI:0113","unspecified role","MI:0499","prey","MI:0498","western blot","MI:0113","2013/04/16","",""
"author-identifiers:\BAIT gene GI:3219330, protein GI:4757988; PREY protein GI:24234683\","Ewing et al. (2007)","","","0.333","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1081912","physical association","P51784 (EBI-1081912) O76071","false","","physical association","pubmed","17353931",,"false","EBI-1081912","P51784 (EBI-1081912) O76071","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2511298","physical association","P51784 (EBI-2511298) Q5T9A4","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2511298","P51784 (EBI-2511298) Q5T9A4","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2511298","physical association","P51784 (EBI-2511298) P61619","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2511298","P51784 (EBI-2511298) P61619","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:submitted by author|full coverage:Only protein-protein interactions|curation depth:imex curation","Sowa et al. (2009)","spoke expansion","MI:1060",,"0.4","2009/12/18","anti tag coimmunoprecipitation","MI:0007","human-293t|Homo sapiens 293 cells transformed with SV40 large T antigen","9606","EBI-2511298","physical association","P51784 (EBI-2511298) Q9Y6Y0","false","","physical association","imex|pubmed","IM-12079|19615732",,"false","EBI-2511298","P51784 (EBI-2511298) Q9Y6Y0","unspecified role","MI:0499","psi-mi","bait","MI:0496","sequence tag identification","MI:0102","unspecified role","MI:0499","prey","MI:0498","sequence tag identification","MI:0102","2009/12/18","intact","MI:0469"
"figure legend:Table S2|full coverage:Only protein-protein interactions|curation depth:imex curation","Wang et al. (2011)","","",,"0.37","2011/05/18","two hybrid","MI:0018","yeasx|Saccharomyces cerevisiae","4932","EBI-3943410","physical association","Q8NFF5 (EBI-3943410) P57678","false","","physical association","imex|pubmed","IM-15364|21988832",,"false","EBI-3943410","Q8NFF5 (EBI-3943410) P57678","unspecified role","MI:0499","psi-mi","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","unspecified role","MI:0499","nucleotide sequence identification","MI:0078","2011/05/18","intact","MI:0469"
"author-identifiers:\BAIT gene GI:5020252, protein GI:6005854; PREY protein GI:7106299\","Ewing et al. (2007)","","","0.252","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1079000","physical association","Q9UBB4 (EBI-1079000) Q99623","false","","physical association","pubmed","17353931",,"false","EBI-1079000","Q9UBB4 (EBI-1079000) Q99623","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:6563213, protein GI:10047116; PREY protein GI:7106299\","Ewing et al. (2007)","","","0.286","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1061278","physical association","Q9UBB4 (EBI-1061278) Q9BUV8","false","","physical association","pubmed","17353931",,"false","EBI-1061278","Q9UBB4 (EBI-1061278) Q9BUV8","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:11493555, protein GI:11493556; PREY protein GI:7106299\","Ewing et al. (2007)","","","0.314","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1075883","physical association","Q9UBB4 (EBI-1075883) Q9Y5V3","false","","physical association","pubmed","17353931",,"false","EBI-1075883","Q9UBB4 (EBI-1075883) Q9Y5V3","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"author-identifiers:\BAIT gene GI:11493555, protein GI:11493556; PREY protein GI:18375630\","Ewing et al. (2007)","","","0.346","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1061346","physical association","P46379 (EBI-1061346) Q9Y5V3","false","","physical association","pubmed","17353931",,"false","EBI-1061346","P46379 (EBI-1061346) Q9Y5V3","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
"dataset:Huntington's - Publications describing interactions involved in Huntington's disease|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|full coverage:Only protein-protein interactions|curation depth:imex curation","Stelzl et al. (2005)","","",,"0.37","2005/10/19","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-730831","physical association","P46379 (EBI-730831) Q16637","false","","physical association","pubmed|imex|mint","16169070|IM-16517|MINT-5217955",,"false","EBI-730831","P46379 (EBI-730831) Q16637","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2008/09/22","intact","MI:0469"
"dataset:Huntington's - Publications describing interactions involved in Huntington's disease|dataset:Neurodegeneration - Publications depicting interactions involved in neurodegenerative diseases.|full coverage:Only protein-protein interactions|curation depth:imex curation","Stelzl et al. (2005)","","",,"0.37","2005/10/19","two hybrid pooling approach","MI:0398","yeasx|Saccharomyces cerevisiae","4932","EBI-731713","physical association","P46379 (EBI-731713) Q9UBS4","false","","physical association","pubmed|imex|mint","16169070|IM-16517|MINT-5217955",,"false","EBI-731713","P46379 (EBI-731713) Q9UBS4","unspecified role","MI:0499","psi-mi","prey","MI:0498","nucleotide sequence identification","MI:0078","unspecified role","MI:0499","bait","MI:0496","nucleotide sequence identification","MI:0078","2008/09/22","intact","MI:0469"
"author-identifiers:\BAIT gene GI:3219330, protein GI:4757988; PREY protein GI:18375630\","Ewing et al. (2007)","","","0.295","0.4","2006/09/22","anti bait coimmunoprecipitation","MI:0006","human-293|Homo sapiens transformed primary embryonal kidney cells","9606","EBI-1082129","physical association","P46379 (EBI-1082129) O76071","false","","physical association","pubmed","17353931",,"false","EBI-1082129","P46379 (EBI-1082129) O76071","unspecified role","MI:0499","psi-mi","prey","MI:0498","sequence tag identification","MI:0102","unspecified role","MI:0499","bait","MI:0496","sequence tag identification","MI:0102","2008/09/22","",""
